date,day_of_year,month,actual_wh,direct_point_wh,direct_q10_wh,mc_mean_point_wh,mc_p10_point_wh,mc_p50_point_wh,mc_p90_point_wh,mc_mean_q10_wh,mc_p50_q10_wh,analog_unique_days
2021-11-13,317,11,6476.0,7172.34521484375,3015.001953125,17857.464979003908,3206.039306640625,11155.2958984375,46235.0078125,7976.946400390625,4136.7646484375,172
2021-11-14,318,11,2334.0,3510.79296875,1815.474365234375,17535.147810546874,3206.039306640625,10809.23046875,45485.62890625,7929.409775695801,3920.319091796875,172
2021-11-15,319,11,2201.0,3084.421142578125,1814.575439453125,16792.342807373047,2708.27294921875,9097.2724609375,45342.5390625,7489.726284973144,3759.1796875,172
2021-11-16,320,11,1722.0,3082.589111328125,1762.4437255859375,17296.94090222168,2891.864379882814,10097.513671875,45342.5390625,7736.619138549805,3920.31201171875,171
2021-11-17,321,11,1929.0,3079.76708984375,1308.7491455078125,16823.042424804687,2943.447265625,9636.3876953125,43382.6484375,7542.917634765625,3759.1796875,172
2021-11-18,322,11,9518.0,13351.7255859375,5104.337890625,16478.77881994629,2514.47802734375,7586.392578125,44732.0546875,7471.140556213379,3563.0146484375,171
2021-11-19,323,11,2344.0,2593.65771484375,1221.3365478515625,15843.173944458007,2514.47802734375,7745.17578125,43382.6484375,6956.912925354004,3563.55078125,172
2021-11-20,324,11,4313.0,4960.57958984375,2205.939697265625,16220.37434375,2940.328881835938,7984.85205078125,44732.0546875,7457.866091491699,3534.023193359375,171
2021-11-21,325,11,10814.0,9185.7978515625,3578.20068359375,14861.427025512696,2514.47802734375,7422.87939453125,42693.34375,6825.348940246582,3348.2509765625,172
2021-11-22,326,11,38586.0,35559.6328125,13055.927734375,14087.134328613281,2443.14404296875,6994.39306640625,39155.94921875,6292.5041832885745,3136.1513671875,172
2021-11-23,327,11,6975.0,8616.0791015625,3302.1904296875,13741.210985595702,2432.391845703125,6970.194091796875,37496.69921875,6197.646011352539,3191.48876953125,171
2021-11-24,328,11,4763.0,5439.59326171875,2612.23876953125,13827.877094604492,2498.1494140625,6770.198974609375,38056.703125,6250.398985778808,2938.355712890625,172
2021-11-25,329,11,2275.0,3766.888427734375,1520.71533203125,13368.371969604492,2441.635009765625,6384.5107421875,37496.69921875,5974.638386108399,2876.586181640625,171
2021-11-26,330,11,18447.0,19838.283203125,6208.09716796875,12130.6182734375,2432.391845703125,6754.412109375,33423.25390625,5320.460517028809,2895.29443359375,172
2021-11-27,331,11,37466.0,37383.27734375,15771.3505859375,13435.993903564453,2514.47802734375,6754.412109375,35463.77890625001,6100.37202532959,2876.586181640625,170
2021-11-28,332,11,12190.0,16378.2451171875,5459.6591796875,12606.392,2441.635009765625,6754.412109375,34596.40625,5478.548410095214,2895.29443359375,172
2021-11-29,333,11,3379.0,4028.6064453125,1537.1365966796875,12295.059455322265,2427.912719726563,5945.048828125,34457.40937500002,5324.854037475586,2687.10546875,172
2021-11-30,334,11,984.0,1323.2425537109375,181.3020782470703,11356.09419519043,2441.635009765625,5704.23876953125,31115.00839843755,4868.395523986816,2614.32080078125,171
2021-12-01,335,12,928.0,1265.2908935546875,585.049560546875,11938.36911669922,2310.600830078125,5708.615234375,34394.6484375,5167.43645916748,2648.794921875,171
2021-12-02,336,12,8757.986666666666,8652.4169921875,4044.88623046875,10895.322869873047,2218.815673828125,5492.23095703125,33002.0078125,4652.624392211914,2553.176025390625,171
2021-12-03,337,12,638.0,1930.838134765625,581.99951171875,11989.727590332031,2268.319580078125,5874.80126953125,33715.34375,5149.868692626953,2687.10546875,172
2021-12-04,338,12,82.0,661.417236328125,21.288414001464844,11292.767395385743,1997.3900146484375,5692.1171875,33715.34375,4850.6696022338865,2476.97314453125,172
2021-12-05,339,12,1006.0,1168.9925537109375,460.6546325683594,12026.973669799805,2218.815673828125,5704.822265625,35022.2578125,5178.847231567383,2616.742431640625,172
2021-12-06,340,12,2804.0,2660.394287109375,1365.3538818359375,11213.085110839844,2061.23681640625,5692.1171875,33002.0078125,4780.283736572265,2545.2001953125,172
2021-12-07,341,12,3870.0,3343.892578125,1775.3372802734375,11739.486420166015,1994.9058837890625,5704.822265625,33423.25390625,5052.819794433593,2620.654052734375,170
2021-12-08,342,12,2362.0,3305.74560546875,1713.404541015625,10403.387451538087,1953.697924804688,4915.31591796875,30905.341796875,4506.552271362305,2220.744140625,172
2021-12-09,343,12,712.0,1636.03662109375,723.0908203125,10433.50496105957,1889.099853515625,5262.91357421875,28770.126953125,4366.8786845703125,2330.85009765625,171
2021-12-10,344,12,62.0,892.7144775390625,62.169410705566406,9975.80713305664,1964.0987670898437,5262.91357421875,28697.76953125,4238.916903076172,2359.0882568359375,173
2021-12-11,345,12,8757.986666666666,8738.9345703125,3898.530029296875,10151.281775512696,1964.4569091796875,5471.46630859375,27932.85546875,4281.22464440918,2379.232421875,173
2021-12-12,346,12,8757.986666666666,8950.14453125,3945.533203125,10898.31525805664,1960.87548828125,5523.93994140625,30905.341796875,4640.444878173828,2432.643310546875,174
2021-12-13,347,12,1755.0,1882.132080078125,892.224365234375,10939.968530151367,1971.8897094726562,5639.48828125,30905.341796875,4618.787382751465,2432.643310546875,175
2021-12-14,348,12,2920.0,3046.129638671875,1388.0804443359375,10418.17789465332,1994.9058837890625,5262.91357421875,30905.341796875,4433.385595153809,2243.465576171875,176
2021-12-15,349,12,1785.0,2174.23291015625,1082.9315185546875,10436.847475830078,1889.099853515625,4984.8017578125,28776.646484375,4387.64832787323,2351.227294921875,176
2021-12-16,350,12,8757.986666666666,8995.73828125,3975.9140625,11361.175044921874,1960.87548828125,5704.23876953125,33423.25390625,4882.234609336853,2513.332275390625,178
2021-12-17,351,12,4388.0,5678.494140625,2777.626953125,10263.871624389649,1861.1082763671875,5506.0947265625,28697.76953125,4328.177220954895,2432.643310546875,179
2021-12-18,352,12,2989.0,3375.010986328125,2135.333740234375,10459.391369995117,1964.4569091796875,5492.23095703125,28776.646484375,4522.663895606995,2366.94921875,179
2021-12-19,353,12,2252.0,2556.0029296875,1113.607421875,10563.49400024414,1723.1585693359375,5678.2578125,28770.126953125,4514.482473304749,2432.643310546875,180
2021-12-20,354,12,19759.0,16443.712890625,5954.2705078125,10565.806478149414,1723.1585693359375,4984.8017578125,28776.646484375,4498.337998527527,2366.94921875,181
2021-12-21,355,12,11932.0,8950.6689453125,3524.652099609375,10350.85699597168,1663.37255859375,5492.23095703125,28705.005273437502,4376.748151702881,2367.63623046875,183
2021-12-22,356,12,641.0,1434.800048828125,560.4242553710938,10112.291706481934,1712.2677001953125,4984.8017578125,27976.41464843751,4294.975583915711,2330.85009765625,184
2021-12-23,357,12,3460.0,5594.4228515625,2273.679443359375,9413.338988952637,1614.0548095703125,4909.3759765625,27976.41464843751,4035.441460823059,2232.1048583984375,184
2021-12-24,358,12,8757.986666666666,9113.36328125,3964.031494140625,9763.566313171386,1658.4407836914065,4696.7626953125,28697.76953125,4195.082155693054,2243.465576171875,186
2021-12-25,359,12,2881.0,9997.716796875,4612.90576171875,9240.634600769043,1559.587890625,4190.77978515625,27047.54902343752,3986.602924819946,1904.9271240234375,187
2021-12-26,360,12,5388.0,10859.3486328125,3489.509765625,9809.411290161133,1613.8757446289062,4594.00830078125,28770.126953125,4245.337700698852,2049.987548828125,188
2021-12-27,361,12,14289.0,18961.791015625,7010.87841796875,9244.9127421875,1612.26416015625,4320.4716796875,25656.16015625,4074.577224746704,2014.8257446289062,189
2021-12-28,362,12,3350.0,3473.882568359375,1797.2020263671875,10213.181939575195,1614.0548095703125,5311.97998046875,28368.447265625,4529.006152107238,2379.232421875,190
2021-12-29,363,12,2398.0,2196.833251953125,1335.3692626953125,9732.405049499512,1614.0548095703125,4915.31591796875,25656.16015625,4301.34712096405,2283.6142578125,191
2021-12-30,364,12,4884.0,4813.67822265625,2295.40380859375,10180.96102923584,1614.0548095703125,4892.150390625,25883.829687500052,4607.7888888549805,2366.94921875,192
2021-12-31,365,12,1102.0,1701.2125244140625,515.4208374023438,10308.747458862304,1614.0548095703125,5581.714111328125,27932.85546875,4594.674745368958,2545.2001953125,193
2022-01-01,1,1,2606.0,2454.158935546875,1184.5799560546875,9606.212807678223,1567.9180908203125,4984.8017578125,22589.756445312527,4281.316335792541,2400.376953125,192
2022-01-02,2,1,1585.0,1849.6953125,743.49853515625,9707.94884564209,1796.741943359375,5544.775390625,24887.24726562502,4302.862027626037,2545.2001953125,193
2022-01-03,3,1,4236.0,4344.4384765625,1612.5577392578125,9903.171729064941,1681.5260375976563,5441.1220703125,24801.8125,4422.055239589691,2679.0830078125,196
2022-01-04,4,1,3847.0,4397.40185546875,1947.35107421875,9522.498926574706,1607.8295532226566,5023.045166015625,23637.962890625,4225.470423656464,2513.332275390625,194
2022-01-05,5,1,10089.0,18141.86328125,4300.3193359375,9735.642119384765,1567.9180908203125,4996.2734375,27932.85546875,4450.425326202392,2589.44677734375,198
