year_month,year,month,dominant_segment,train_rows,validation_rows,test_rows,metric_rows,mape,r2,rmse_wh,mae_wh,bias_wh,nrmse_observed_capacity_pct,actual_mean_wh,actual_p10_wh,actual_p50_wh,actual_p90_wh,prediction_mean_wh,clouds_all_mean,solar_elevation_mean_deg,ghi_roll_std_3h_mean
2021-10,2021,10,test,0,0,1215,1215,38.07633431769209,0.8739910706314101,419.0098155520299,272.9464389475692,-78.10084941755044,8.346809074741632,1200.108780931003,67.4,738.0,3282.2000000000007,1122.0079315134528,69.06255144032922,17.750051591712317,13.240816514021414
2021-11,2021,11,test,0,0,897,897,48.19145579196309,0.7604124446605461,289.34604626615413,150.63869089675254,35.843143748333354,5.763865463469206,368.2597547380156,35.0,170.0,815.0026845637584,404.102898486349,86.93088071348942,12.124140195916212,7.55315104238635
2021-12,2021,12,test,0,0,740,740,37.97098348169487,0.5208958381718747,204.43756571588997,83.86824162778768,21.91746420485694,4.072461468444024,192.39514414414415,22.0,101.5,477.37,214.3126083490011,86.7081081081081,9.197283070717129,5.967049162899121
2022-01,2022,1,test,0,0,883,883,44.279852541256204,0.8387549765267828,331.1462612306872,158.05854077315863,-2.9667950482439283,6.596539068340382,529.1319717706074,30.418079096045197,164.0,1884.8000000000045,526.1651767223634,78.02151755379388,10.529930575093292,7.291175215914919
2022-02,2022,2,test,0,0,1010,1010,50.51237573943502,0.8817152464250517,385.22380940791567,236.52120461863956,5.947160569468197,7.673781063902703,922.051497005988,50.0,393.5,2830.800000000001,927.9986575754563,71.28514851485149,15.591914178293111,12.380240414035843
2022-03,2022,3,test,0,0,1429,1429,18.756748834633015,0.9288883428751468,395.12726479656783,207.69860214916787,-28.23599301058567,7.871061051724458,1807.9300209937019,110.80000000000001,1465.0,3973.4,1779.6940279831163,39.954513645906225,21.76139455730211,17.04359197360661
2022-04,2022,4,test,0,0,1615,1615,33.27136261935996,0.8172152993004425,552.8947169581375,326.7401580603868,-13.264777420032136,11.01383898322983,1412.7479876160992,94.4,1010.0,3540.2000000000035,1399.483210196067,69.09721362229102,28.141506156731786,19.722863513319528
2022-05,2022,5,test,0,0,1858,1858,39.12028764130751,0.805379390055052,535.6573087144275,316.69976881329285,23.878257472946263,10.670464317020468,1277.5021528525297,87.0,801.5,3301.2,1301.3804103254759,68.52152852529602,32.070984113523195,23.232096319757645
2022-06,2022,6,test,0,0,1964,1964,28.97856877003045,0.8810890308471261,427.16381332852416,242.60218843684177,27.079898570135022,8.509239309333152,1340.0290224032588,84.60000000000002,892.0,3381.8,1367.1089209733937,63.28105906313645,33.7250813196196,23.033932390190802
2022-07,2022,7,test,0,0,1939,1939,33.73027662837692,0.8273605950395632,486.54637119837054,288.6997114926992,26.47387955889928,9.692158788812161,1287.7875193398659,84.0,873.0,3165.4000000000005,1314.2613988987653,62.70706549767922,32.92093836618128,23.280923053846866
2022-08,2022,8,test,0,0,1683,1683,34.22234897639036,0.8815282021933712,420.0565706533811,248.97552313835791,22.75708278105221,8.36766076998767,1317.7189542483661,89.0,895.0,3359.8,1340.4760370294182,64.89245395127747,30.23211938143006,19.499018432123208
