simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
291,18773601.532592773,11676090.051221132,18773.601532592773,11676.090051221132
292,19729948.010620117,12855549.309979677,19729.948010620115,12855.549309979677
293,19296935.438842773,11931048.60241437,19296.935438842775,11931.04860241437
294,20162585.50842285,13003504.679779053,20162.585508422853,13003.504679779053
295,19346664.467773438,12246278.306561708,19346.664467773437,12246.278306561708
296,18881924.89465332,11669552.71170044,18881.92489465332,11669.55271170044
297,19268426.93347168,12143357.354309082,19268.42693347168,12143.357354309082
298,18515611.172546387,11614411.068294525,18515.611172546385,11614.411068294525
299,20065135.600097656,12894622.504005432,20065.135600097656,12894.622504005432
300,19245969.369995117,11884890.795837402,19245.969369995117,11884.890795837402
301,19579873.426879883,12361306.709576845,19579.873426879883,12361.306709576846
302,18858731.135009766,11761388.794507265,18858.731135009766,11761.388794507266
303,18642961.302490234,11643196.196942568,18642.961302490236,11643.196196942568
304,19787936.024536133,12406263.271408081,19787.93602453613,12406.263271408081
305,19586649.69494629,12588252.561279297,19586.64969494629,12588.252561279296
306,20437357.936645508,13112918.152679443,20437.35793664551,13112.918152679444
307,19522659.6451416,12562003.015159607,19522.6596451416,12562.003015159607
308,18965810.377746582,11780565.069980621,18965.81037774658,11780.565069980621
309,19740036.17248535,12583058.531167269,19740.03617248535,12583.05853116727
310,18203400.475463867,11147553.926411867,18203.400475463866,11147.553926411867
311,19090643.474243164,12041500.838241577,19090.643474243163,12041.500838241576
312,19558546.1060791,12506775.601887941,19558.546106079102,12506.77560188794
313,19498436.939697266,12650760.184906006,19498.436939697265,12650.760184906007
314,20117919.508544922,13073659.028808594,20117.91950854492,13073.659028808594
315,19869296.5703125,12925816.319259644,19869.2965703125,12925.816319259644
316,18775625.247070312,11971864.083999634,18775.62524707031,11971.864083999633
317,20158342.55810547,13001148.020329714,20158.34255810547,13001.148020329714
318,19643823.067382812,12503583.913632631,19643.82306738281,12503.583913632632
319,19685026.6517334,12349665.926582336,19685.0266517334,12349.665926582336
320,20293567.4888916,13358095.057998657,20293.5674888916,13358.095057998657
321,18562170.194580078,11816314.149467468,18562.170194580078,11816.314149467467
322,18947988.970458984,12117728.51097107,18947.988970458984,12117.72851097107
323,18563865.313598633,11826609.515579224,18563.86531359863,11826.609515579225
